stra,perc,circ,samp,stra2,perc2,circ2,samp2,cros1,cros2
Mirroring,0.000,0.400,35,Annealing,0.950,0.425,35,422,388
Mirroring,0.000,0.400,35,Mirroring,0.000,0.400,20,586,527
Mirroring,0.000,0.400,35,Mirroring,0.000,0.400,30,16430,15641
Mirroring,0.000,0.400,35,Mirroring,0.000,0.400,40,3709,3637
Mirroring,0.000,0.400,35,Mirroring,0.000,0.425,20,1521,1225
Mirroring,0.000,0.400,35,Mirroring,0.000,0.425,25,7265,6653
Mirroring,0.000,0.400,40,Annealing,0.900,0.400,25,12471,11052
Mirroring,0.000,0.400,40,Annealing,0.900,0.400,35,256,250
Mirroring,0.000,0.400,40,Annealing,0.900,0.400,40,73,42
Mirroring,0.000,0.400,40,Annealing,0.900,0.425,20,427,385
Mirroring,0.000,0.400,40,Annealing,0.900,0.425,30,132471,129786
Mirroring,0.000,0.400,40,Annealing,0.950,0.400,25,494,427
Mirroring,0.000,0.400,40,Annealing,0.950,0.400,35,1394,1353
Mirroring,0.000,0.400,40,Annealing,0.950,0.425,20,261,239
Mirroring,0.000,0.400,40,Annealing,0.950,0.425,25,43382,43047
Mirroring,0.000,0.400,40,Annealing,0.950,0.425,30,4365,4085
Mirroring,0.000,0.400,40,Annealing,0.950,0.425,35,53,43
Mirroring,0.000,0.400,40,Mirroring,0.000,0.400,20,191,188
Mirroring,0.000,0.400,40,Mirroring,0.000,0.400,25,36787,33892
Mirroring,0.000,0.400,40,Mirroring,0.000,0.400,30,38965,38244
Mirroring,0.000,0.400,40,Mirroring,0.000,0.425,20,89167,86064
Mirroring,0.000,0.400,40,Mirroring,0.000,0.425,25,1100,1037
Mirroring,0.000,0.400,40,Mirroring,0.000,0.425,30,985,1200
Mirroring,0.000,0.425,20,Annealing,0.900,0.400,30,961,867
Mirroring,0.000,0.425,20,Annealing,0.900,0.400,40,76105,74233
Mirroring,0.000,0.425,20,Annealing,0.900,0.425,25,294,258
Mirroring,0.000,0.425,20,Annealing,0.900,0.425,30,139,112
Mirroring,0.000,0.425,20,Annealing,0.950,0.400,20,1340,1024
Mirroring,0.000,0.425,20,Annealing,0.950,0.400,25,27099,25962
Mirroring,0.000,0.425,20,Annealing,0.950,0.400,30,2695,2046
Mirroring,0.000,0.425,20,Annealing,0.950,0.400,40,467,385
Mirroring,0.000,0.425,20,Mirroring,0.000,0.400,20,31,26
Mirroring,0.000,0.425,20,Mirroring,0.000,0.400,25,82,70
Mirroring,0.000,0.425,20,Mirroring,0.000,0.425,30,571,485
Mirroring,0.000,0.425,20,Mirroring,0.000,0.425,35,6122,5619
Mirroring,0.000,0.425,25,Annealing,0.900,0.400,25,1664,1533
Mirroring,0.000,0.425,25,Annealing,0.900,0.400,35,885,825
Mirroring,0.000,0.425,25,Annealing,0.900,0.425,30,116752,111004
Mirroring,0.000,0.425,25,Annealing,0.900,0.425,35,44113,43502
Mirroring,0.000,0.425,25,Annealing,0.950,0.425,20,97409,96804
Mirroring,0.000,0.425,25,Annealing,0.950,0.425,30,192768,180625
Mirroring,0.000,0.425,25,Mirroring,0.000,0.400,20,972,890
Mirroring,0.000,0.425,25,Mirroring,0.000,0.400,25,114204,110607
Mirroring,0.000,0.425,25,Mirroring,0.000,0.400,30,158738,157421
Mirroring,0.000,0.425,25,Mirroring,0.000,0.425,20,18843,18724
Mirroring,0.000,0.425,25,Mirroring,0.000,0.425,30,739,631
Mirroring,0.000,0.425,30,Annealing,0.900,0.400,25,166666,163344
Mirroring,0.000,0.425,30,Annealing,0.900,0.400,30,60,57
Mirroring,0.000,0.425,30,Annealing,0.900,0.400,40,642,549
Mirroring,0.000,0.425,30,Annealing,0.950,0.400,25,116011,115116
Mirroring,0.000,0.425,30,Annealing,0.950,0.400,30,1111,1101
Mirroring,0.000,0.425,30,Annealing,0.950,0.400,40,1811,1802
Mirroring,0.000,0.425,30,Annealing,0.950,0.425,20,84,68
Mirroring,0.000,0.425,30,Mirroring,0.000,0.400,20,77673,75257
Mirroring,0.000,0.425,30,Mirroring,0.000,0.400,30,224513,223415
Mirroring,0.000,0.425,30,Mirroring,0.000,0.400,35,211261,198506
Mirroring,0.000,0.425,35,Annealing,0.900,0.400,20,89090,86417
Mirroring,0.000,0.425,35,Annealing,0.900,0.400,25,112373,106861
Mirroring,0.000,0.425,35,Annealing,0.900,0.400,35,601,578
Mirroring,0.000,0.425,35,Annealing,0.900,0.425,20,91571,86331
Mirroring,0.000,0.425,35,Annealing,0.900,0.425,25,82,79
Mirroring,0.000,0.425,35,Annealing,0.900,0.425,30,7555,7335
Mirroring,0.000,0.425,35,Annealing,0.950,0.400,30,115,103
Mirroring,0.000,0.425,35,Annealing,0.950,0.400,35,647,555
Mirroring,0.000,0.425,35,Annealing,0.950,0.400,40,8736,8583
Mirroring,0.000,0.425,35,Annealing,0.950,0.425,20,72009,69833
Mirroring,0.000,0.425,35,Annealing,0.950,0.425,25,435,413
Mirroring,0.000,0.425,35,Annealing,0.950,0.425,35,129,125
Mirroring,0.000,0.425,35,Mirroring,0.000,0.400,20,93218,92891
